month,mean_price_ratio,median_price_ratio,pct_below_cost,pct_below_cost_with_promo,pct_below_cost_without_promo,promo_active_days_sum_alltime
1,0.9839242762033605,0.9977054945583664,4.146787889699042,49.70193740685544,0.15664262637470222,26
2,0.9672606896336138,0.9929723216220909,9.329221279876638,42.08357857563272,0.18083182640144665,140
3,0.9327489014283095,0.9017924940466044,21.7513362622722,38.772786643193825,0.2119938198411843,145
4,0.9458133375402875,0.9728996121204022,17.67055400774181,38.86329562491482,0.17329462336551663,170
5,1.0000575737824793,1.0000929643629735,0.19715251868581626,,0.19715251868581626,0
6,0.9536011981945843,0.9909175980700351,13.029095460699416,50.061988594098686,0.18235304237127767,80
7,0.8829394602077478,0.8339848849928585,31.930357258220816,51.42931664058425,0.22056328469630132,230
8,0.854580300477242,0.9888396054465864,29.234938826080224,98.00896487021787,0.160849638639168,174
9,0.8961265281936058,0.9009451888404862,34.925128979489116,37.185985753522544,0.0,310
10,0.9959513115860416,0.9989781662154168,1.5180120420451066,33.74272786037492,0.19389625222449466,13
11,0.9114926177181584,0.9751753988464695,23.2353596081051,52.30904743928526,0.16971149046620745,129
12,0.8008412445123757,0.8000404847326887,47.29409127421494,47.482135824002704,0.0,310
