Date,year,month,quarter,day_of_week,day_of_month,month_sin,month_cos,dow_sin,dow_cos,is_post_2019,is_post_2019_transition,days_from_tet,is_low_margin_season,trend_index,is_holiday_302_305,is_holiday_qk,is_christmas
2023-01-01,2023,1,1,6,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,-21,0,3833,0,0,0
2023-01-02,2023,1,1,0,2,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,-20,0,3834,0,0,0
2023-01-03,2023,1,1,1,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1,0,-19,0,3835,0,0,0
2023-01-04,2023,1,1,2,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1,0,-18,0,3836,0,0,0
2023-01-05,2023,1,1,3,5,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,-17,0,3837,0,0,0
2023-01-06,2023,1,1,4,6,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,-16,0,3838,0,0,0
2023-01-07,2023,1,1,5,7,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,-15,0,3839,0,0,0
2023-01-08,2023,1,1,6,8,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,-14,0,3840,0,0,0
2023-01-09,2023,1,1,0,9,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,-13,0,3841,0,0,0
2023-01-10,2023,1,1,1,10,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1,0,-12,0,3842,0,0,0
2023-01-11,2023,1,1,2,11,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1,0,-11,0,3843,0,0,0
2023-01-12,2023,1,1,3,12,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,-10,0,3844,0,0,0
2023-01-13,2023,1,1,4,13,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,-9,0,3845,0,0,0
2023-01-14,2023,1,1,5,14,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,-8,0,3846,0,0,0
2023-01-15,2023,1,1,6,15,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,-7,0,3847,0,0,0
2023-01-16,2023,1,1,0,16,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,-6,0,3848,0,0,0
2023-01-17,2023,1,1,1,17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1,0,-5,0,3849,0,0,0
2023-01-18,2023,1,1,2,18,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1,0,-4,0,3850,0,0,0
2023-01-19,2023,1,1,3,19,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,-3,0,3851,0,0,0
2023-01-20,2023,1,1,4,20,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,-2,0,3852,0,0,0
2023-01-21,2023,1,1,5,21,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,-1,0,3853,0,0,0
2023-01-22,2023,1,1,6,22,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,0,3854,0,0,0
2023-01-23,2023,1,1,0,23,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,1,0,3855,0,0,0
2023-01-24,2023,1,1,1,24,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1,0,2,0,3856,0,0,0
2023-01-25,2023,1,1,2,25,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1,0,3,0,3857,0,0,0
2023-01-26,2023,1,1,3,26,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1,0,4,0,3858,0,0,0
2023-01-27,2023,1,1,4,27,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,5,0,3859,0,0,0
2023-01-28,2023,1,1,5,28,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,6,0,3860,0,0,0
2023-01-29,2023,1,1,6,29,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,7,0,3861,0,0,0
2023-01-30,2023,1,1,0,30,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,8,0,3862,0,0,0
2023-01-31,2023,1,1,1,31,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1,0,9,0,3863,0,0,0
2023-02-01,2023,2,1,2,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,0,10,0,3864,0,0,0
2023-02-02,2023,2,1,3,2,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,11,0,3865,0,0,0
2023-02-03,2023,2,1,4,3,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,0,12,0,3866,0,0,0
2023-02-04,2023,2,1,5,4,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,13,0,3867,0,0,0
2023-02-05,2023,2,1,6,5,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,14,0,3868,0,0,0
2023-02-06,2023,2,1,0,6,0.8660254037844386,0.5000000000000001,0.0,1.0,1,0,15,0,3869,0,0,0
2023-02-07,2023,2,1,1,7,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,16,0,3870,0,0,0
2023-02-08,2023,2,1,2,8,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,0,17,0,3871,0,0,0
2023-02-09,2023,2,1,3,9,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,18,0,3872,0,0,0
