table,column,rows,null_count,null_pct,blank_count,blank_pct,sentinel_text_count,sentinel_text_pct,sentinel_neg1_count,sentinel_neg1_pct,total_missing_pct,classification,note
order_items,promo_id_2,714669,714463,99.9712,0,0.0,0,0.0,0,0.0,99.9712,hop_le_nghiep_vu,"Khuyen mai thu 2 (stackable) hiem gap -> phan lon NULL hop le (theo QC0.4: 714,463/714,669 = 99.97% null, KHONG tinh la orphan/loi)."
promotions,applicable_category,50,40,80.0,0,0.0,0,0.0,0,0.0,80.0,hop_le_nghiep_vu,"NULL = chuong trinh khuyen mai ap dung TOAN BO danh muc (vd 'Spring Sale', 'Year-End Sale' theo tung nam) — khong phai loi. 5 dong co gia tri (Streetwear/Outdoor) la promo gioi han 1 danh muc. Nen doi ten/dung sentinel ro rang hon (vd 'ALL') de tranh nham voi thieu du lieu, nhung ban chat la hop le nghiep vu."
order_items,promo_id,714669,438353,61.3365,0,0.0,0,0.0,0,0.0,61.3365,hop_le_nghiep_vu,"Don khong ap dung khuyen mai -> NULL hop le (theo QC0.4: 438,353/714,669 = 61.34% null)."
inventory,stockout_days,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,units_received,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,stock_on_hand,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,product_id,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,snapshot_date,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,min_order_value,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,stackable_flag,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,promo_channel,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,end_date,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
customers,customer_id,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,start_date,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,discount_value,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,promo_type,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,promo_name,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
promotions,promo_id,50,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
returns,refund_amount,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
returns,return_quantity,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
returns,return_reason,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,"THUC TE: 0% null (39,939/39,939 co ly do). Khong thieu du lieu o cot nay."
returns,return_date,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
returns,product_id,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,units_sold,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,days_of_supply,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
returns,return_id,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,fill_rate,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
sample_submission,Revenue,548,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
sample_submission,Date,548,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
