customer_id,churn_tier,p_churn_logistic,used_in_logistic_test_set
1,Da roi bo (>365d),0.8645880093454171,True
2,An toan,0.9530188965271454,False
3,Da roi bo (>365d),0.97813800739596,False
4,Da roi bo (>365d),0.964058546806086,False
5,Da roi bo (>365d),0.9183431450928732,True
6,Da roi bo (>365d),0.8833381548809996,False
8,Da roi bo (>365d),0.8952738242561711,False
9,Da roi bo (>365d),0.9609753185856638,False
10,Rui ro cao,0.7743324740751352,False
11,Da roi bo (>365d),0.8861192008378082,False
12,Da roi bo (>365d),0.9579938074068108,False
13,Da roi bo (>365d),0.8808661854937075,False
14,Da roi bo (>365d),0.934831339259618,False
15,Da roi bo (>365d),0.9706248054462879,True
16,Rui ro cao,0.9201116159168046,False
17,Da roi bo (>365d),0.9690869132564776,False
18,Da roi bo (>365d),0.8856321819015337,False
20,Rui ro cao,0.8672725380457149,False
22,An toan,0.8471914997540763,False
23,Rui ro cao,0.7419079665806023,True
24,Da roi bo (>365d),0.8447270248160506,False
26,Rui ro cao,0.9319453403142103,False
27,An toan,0.9682968773339047,False
30,Da roi bo (>365d),0.9358984477329538,True
32,Da roi bo (>365d),0.7924040175368757,False
33,Da roi bo (>365d),0.9347180661827643,False
35,Da roi bo (>365d),0.8409264427563602,True
36,Rui ro cao,0.9229802567712363,False
38,Da roi bo (>365d),0.9646835145429905,True
41,Da roi bo (>365d),0.8910961125977623,False
42,Da roi bo (>365d),0.8810658097635045,False
43,Rui ro cao,0.8529970647372337,False
44,Da roi bo (>365d),0.913262462104017,True
45,Da roi bo (>365d),0.8208933158659297,True
46,Rui ro cao,0.7588394938831783,True
47,An toan,0.8766287502644284,True
48,Rui ro cao,0.8245314167991552,False
49,Da roi bo (>365d),0.8880600684702796,False
50,Rui ro cao,0.7825208841758017,True
51,Da roi bo (>365d),0.9458935953474703,False
52,Da roi bo (>365d),0.9060656978088691,False
53,Da roi bo (>365d),0.9582233300243508,False
55,Da roi bo (>365d),0.980270080086529,False
56,An toan,0.8556505573068375,False
57,An toan,0.8831833456978078,False
58,An toan,0.8520247153055261,False
59,Da roi bo (>365d),0.8904762833771598,True
60,Da roi bo (>365d),0.8926509577694186,False
63,Da roi bo (>365d),0.8825505180951249,False
64,Da roi bo (>365d),0.9429300753064801,False
67,An toan,0.8919543109042855,True
68,Da roi bo (>365d),0.9475022506208214,False
69,Da roi bo (>365d),0.8856126824745061,False
70,Da roi bo (>365d),0.9431661874129339,False
71,Da roi bo (>365d),0.9467161510151522,False
74,Da roi bo (>365d),0.8993427524410765,False
75,Rui ro cao,0.8486322082805008,False
76,Da roi bo (>365d),0.8163322800305007,False
78,Da roi bo (>365d),0.9474469967678627,False
79,Da roi bo (>365d),0.8955222435369861,False
80,Da roi bo (>365d),0.876183845784935,True
81,Da roi bo (>365d),0.8886757324931999,False
82,Da roi bo (>365d),0.9194808473105301,True
83,An toan,0.9755912842451996,False
85,An toan,0.8380463818978655,False
86,Da roi bo (>365d),0.9478953663298242,True
88,Da roi bo (>365d),0.921075771406776,False
89,Da roi bo (>365d),0.9013504865094759,False
90,Rui ro cao,0.8834723898351451,False
91,Da roi bo (>365d),0.9451973904908543,False
92,Da roi bo (>365d),0.9320480850452811,False
94,Da roi bo (>365d),0.9333051991292313,True
95,Da roi bo (>365d),0.9106285732155436,False
96,Da roi bo (>365d),0.8853875515822484,False
98,Da roi bo (>365d),0.8889743176730831,False
101,Da roi bo (>365d),0.89055596845857,False
102,Rui ro cao,0.8332206775564277,False
103,Da roi bo (>365d),0.848060112198704,False
104,Da roi bo (>365d),0.883722434435729,True
105,Da roi bo (>365d),0.8813146417437933,True
106,Da roi bo (>365d),0.9488359143732749,False
107,Da roi bo (>365d),0.9788020468996924,True
108,Da roi bo (>365d),0.9420275420194243,True
109,Da roi bo (>365d),0.9368394797809635,True
112,Da roi bo (>365d),0.9720218230130706,False
113,Da roi bo (>365d),0.9200152392343558,True
114,Da roi bo (>365d),0.9551056772695524,False
118,Da roi bo (>365d),0.920402011423758,True
119,Da roi bo (>365d),0.8776887374644211,False
120,Da roi bo (>365d),0.9636299920709224,True
122,Da roi bo (>365d),0.9631867419390081,False
