cohort_month,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15
2012-07,2.4096385542168677,7.228915662650602,4.819277108433735,1.2048192771084338,7.228915662650602,8.433734939759036,,3.614457831325301,2.4096385542168677,2.4096385542168677,4.819277108433735,6.024096385542169,3.614457831325301,1.2048192771084338,2.4096385542168677,4.819277108433735
2012-08,7.291666666666667,2.083333333333333,4.166666666666666,1.0416666666666665,2.083333333333333,1.0416666666666665,2.083333333333333,2.083333333333333,5.208333333333334,3.125,3.125,5.208333333333334,4.166666666666666,6.25,3.125,5.208333333333334
2012-09,3.389830508474576,2.5423728813559325,2.5423728813559325,4.23728813559322,0.847457627118644,2.5423728813559325,5.084745762711865,8.47457627118644,4.23728813559322,7.627118644067797,5.084745762711865,5.932203389830509,3.389830508474576,3.389830508474576,3.389830508474576,5.932203389830509
2012-10,1.36986301369863,2.73972602739726,3.4246575342465753,0.684931506849315,4.10958904109589,5.47945205479452,3.4246575342465753,4.794520547945205,5.47945205479452,2.73972602739726,2.73972602739726,4.794520547945205,4.10958904109589,4.10958904109589,7.534246575342466,3.4246575342465753
2012-11,1.4388489208633095,1.4388489208633095,2.877697841726619,4.316546762589928,3.597122302158273,5.755395683453238,5.0359712230215825,7.913669064748201,5.755395683453238,5.755395683453238,3.597122302158273,4.316546762589928,1.4388489208633095,2.158273381294964,4.316546762589928,1.4388489208633095
2012-12,3.64963503649635,1.4598540145985401,2.9197080291970803,2.9197080291970803,4.37956204379562,3.64963503649635,5.839416058394161,5.839416058394161,4.37956204379562,3.64963503649635,4.37956204379562,5.109489051094891,2.18978102189781,2.18978102189781,5.109489051094891,7.2992700729927
2013-01,2.2598870056497176,3.389830508474576,5.649717514124294,5.649717514124294,9.6045197740113,6.214689265536723,6.214689265536723,3.954802259887006,7.909604519774012,3.389830508474576,1.1299435028248588,6.214689265536723,3.954802259887006,2.824858757062147,4.519774011299435,6.214689265536723
2013-02,2.857142857142857,4.571428571428571,4.571428571428571,5.142857142857142,7.428571428571429,5.142857142857142,6.2857142857142865,2.857142857142857,4.0,4.0,2.857142857142857,2.2857142857142856,2.857142857142857,5.714285714285714,6.857142857142858,6.857142857142858
2013-03,4.672897196261682,4.672897196261682,2.336448598130841,5.607476635514018,2.803738317757009,4.205607476635514,3.7383177570093453,1.8691588785046727,2.336448598130841,4.205607476635514,1.4018691588785046,4.205607476635514,7.476635514018691,5.14018691588785,6.074766355140187,6.074766355140187
2013-04,5.116279069767442,4.186046511627907,10.69767441860465,6.511627906976744,6.976744186046512,6.511627906976744,4.651162790697675,3.255813953488372,4.186046511627907,3.255813953488372,1.8604651162790697,3.7209302325581395,6.046511627906977,9.30232558139535,5.5813953488372094,7.906976744186046
2013-05,4.273504273504273,6.837606837606838,5.128205128205128,7.264957264957266,2.564102564102564,2.9914529914529915,3.418803418803419,2.9914529914529915,3.418803418803419,2.564102564102564,5.555555555555555,5.128205128205128,5.128205128205128,2.9914529914529915,5.982905982905983,5.555555555555555
2013-06,6.837606837606838,5.128205128205128,8.974358974358974,2.9914529914529915,3.418803418803419,2.9914529914529915,6.41025641025641,0.4273504273504274,4.700854700854701,7.264957264957266,4.700854700854701,6.837606837606838,5.555555555555555,3.8461538461538463,3.8461538461538463,3.418803418803419
2013-07,4.0,2.0,3.5999999999999996,2.8000000000000003,3.5999999999999996,4.0,3.2,3.5999999999999996,4.3999999999999995,8.0,4.0,2.8000000000000003,8.0,5.2,2.0,2.0
2013-08,7.5098814229249005,4.3478260869565215,2.766798418972332,3.1620553359683794,1.5810276679841897,1.5810276679841897,3.1620553359683794,3.9525691699604746,3.1620553359683794,9.486166007905137,6.719367588932807,4.743083003952568,5.928853754940711,2.371541501976284,2.766798418972332,3.557312252964427
2013-09,9.12280701754386,3.8596491228070176,5.614035087719298,4.56140350877193,3.508771929824561,4.56140350877193,4.912280701754386,9.824561403508772,8.421052631578947,5.964912280701754,6.315789473684211,6.315789473684211,4.912280701754386,4.56140350877193,3.1578947368421053,5.964912280701754
2013-10,1.6286644951140066,3.5830618892508146,5.863192182410423,2.6058631921824107,2.6058631921824107,3.908794788273615,5.863192182410423,6.514657980456026,5.537459283387622,5.211726384364821,5.537459283387622,3.5830618892508146,2.2801302931596092,1.9543973941368076,3.257328990228013,1.6286644951140066
2013-11,1.2987012987012987,3.896103896103896,2.272727272727273,3.2467532467532463,5.844155844155844,6.493506493506493,6.1688311688311686,6.1688311688311686,7.467532467532467,4.545454545454546,3.896103896103896,2.272727272727273,2.922077922077922,5.194805194805195,1.6233766233766231,1.948051948051948
2013-12,4.747774480712167,2.967359050445104,2.967359050445104,5.044510385756676,5.934718100890208,9.792284866468842,3.2640949554896146,3.857566765578635,5.637982195845697,4.154302670623145,3.857566765578635,5.341246290801187,5.341246290801187,1.483679525222552,4.747774480712167,5.637982195845697
2014-01,3.273809523809524,2.083333333333333,7.142857142857142,5.357142857142857,7.440476190476191,4.166666666666666,4.464285714285714,5.357142857142857,4.464285714285714,2.083333333333333,3.273809523809524,2.976190476190476,1.1904761904761905,3.273809523809524,5.059523809523809,6.845238095238096
2014-02,3.7151702786377707,7.739938080495357,7.120743034055728,4.3343653250774,7.430340557275541,7.120743034055728,4.643962848297214,5.572755417956656,3.4055727554179565,2.786377708978328,3.7151702786377707,1.5479876160990713,2.476780185758514,4.643962848297214,9.287925696594428,8.359133126934983
2014-03,6.005221932114883,8.093994778067886,5.483028720626632,5.221932114882506,5.221932114882506,5.7441253263707575,3.91644908616188,1.8276762402088773,2.8720626631853787,3.6553524804177546,3.1331592689295036,3.1331592689295036,3.6553524804177546,5.7441253263707575,7.310704960835509,3.1331592689295036
2014-04,5.149051490514905,7.8590785907859075,5.420054200542006,5.691056910569105,3.2520325203252036,4.0650406504065035,4.0650406504065035,2.168021680216802,2.710027100271003,1.8970189701897018,4.336043360433604,4.607046070460704,5.691056910569105,5.149051490514905,5.420054200542006,4.336043360433604
2014-05,4.427083333333334,4.947916666666666,4.427083333333334,3.125,4.166666666666666,2.604166666666667,2.34375,4.6875,2.604166666666667,2.34375,3.6458333333333335,7.291666666666667,5.989583333333334,5.989583333333334,4.427083333333334,4.6875
2014-06,3.664921465968586,4.973821989528796,5.2356020942408374,4.450261780104712,3.4031413612565444,3.664921465968586,4.18848167539267,2.356020942408377,3.1413612565445024,4.450261780104712,8.115183246073299,7.068062827225131,6.282722513089005,5.2356020942408374,4.712041884816754,6.020942408376963
2014-07,8.390022675736962,6.122448979591836,5.442176870748299,4.308390022675737,3.4013605442176873,4.988662131519274,1.5873015873015872,3.8548752834467117,5.442176870748299,5.442176870748299,5.6689342403628125,4.761904761904762,5.215419501133787,5.6689342403628125,4.988662131519274,2.7210884353741496
2014-08,5.829596412556054,3.811659192825112,3.3632286995515694,4.260089686098654,5.15695067264574,3.1390134529147984,3.587443946188341,5.829596412556054,8.295964125560538,5.605381165919283,6.502242152466367,3.587443946188341,4.708520179372197,4.484304932735426,3.1390134529147984,3.587443946188341
2014-09,2.7196652719665275,2.301255230125523,2.092050209205021,3.3472803347280333,3.765690376569038,2.301255230125523,5.02092050209205,6.066945606694561,8.158995815899582,4.184100418410042,3.9748953974895396,5.439330543933055,2.928870292887029,3.3472803347280333,3.9748953974895396,6.2761506276150625
2014-10,3.6093418259023355,2.7600849256900215,4.246284501061571,3.6093418259023355,3.1847133757961785,6.1571125265392785,5.9447983014862,7.43099787685775,5.7324840764331215,4.45859872611465,5.9447983014862,6.581740976645436,6.369426751592357,4.033970276008493,4.033970276008493,3.397027600849257
2014-11,2.6476578411405294,3.054989816700611,2.0366598778004072,3.2586558044806515,5.295315682281059,4.480651731160896,6.109979633401222,6.720977596741344,6.109979633401222,5.4989816700611,4.684317718940937,3.2586558044806515,2.0366598778004072,3.2586558044806515,3.8696537678207736,2.240325865580448
2014-12,3.9622641509433962,2.4528301886792456,1.509433962264151,3.5849056603773586,6.60377358490566,6.981132075471698,6.60377358490566,4.339622641509433,3.9622641509433962,4.716981132075472,5.283018867924529,3.9622641509433962,5.471698113207547,2.2641509433962264,2.4528301886792456,5.09433962264151
2015-01,2.070393374741201,2.484472049689441,5.383022774327122,8.281573498964804,6.211180124223603,5.590062111801243,4.761904761904762,4.3478260869565215,4.140786749482402,4.3478260869565215,3.9337474120082816,3.9337474120082816,2.070393374741201,3.3126293995859215,4.761904761904762,5.175983436853002
2015-02,3.2397408207343417,6.047516198704104,6.695464362850973,4.535637149028078,6.263498920086392,5.183585313174946,5.831533477321814,4.535637149028078,3.455723542116631,2.8077753779697625,5.615550755939525,2.8077753779697625,3.2397408207343417,5.615550755939525,6.911447084233262,4.751619870410368
2015-03,3.9215686274509802,5.88235294117647,5.169340463458111,4.09982174688057,3.0303030303030303,4.991087344028521,4.45632798573975,4.27807486631016,3.0303030303030303,4.81283422459893,3.5650623885918007,2.6737967914438503,3.9215686274509802,6.23885918003565,7.66488413547237,6.59536541889483
2015-04,6.806282722513089,5.4101221640488655,5.06108202443281,5.4101221640488655,6.282722513089005,4.18848167539267,2.7923211169284468,4.18848167539267,2.7923211169284468,4.18848167539267,3.664921465968586,4.712041884816754,8.55148342059337,6.806282722513089,7.853403141361256,4.712041884816754
2015-05,5.228758169934641,5.392156862745098,3.594771241830065,3.594771241830065,4.738562091503268,2.450980392156863,2.6143790849673203,3.9215686274509802,3.2679738562091507,2.7777777777777777,4.738562091503268,5.718954248366013,4.901960784313726,6.209150326797386,4.411764705882353,4.57516339869281
